objectid,code_dist,prov_code,province,province_eng,dist_code,district,source,capture,globalid,created_user,created_date,last_edited_user,last_edited_date,prov_engl,shape_Length,shape_Area
1,11,1,Umujyi wa Kigali,Kigali City,11,Nyarugenge,DLUP,2012,{79DEA8B0-F1F5-4BDB-ABFD-BBA8B9E75ED6},,,SDE,2024/03/05 12:17:38+00,City of Kigali,0.92436956581405,0.0107676087329676
2,12,1,Umujyi wa Kigali,Kigali City,12,Gasabo,DLUP,2012,{5A2A6334-F94F-4191-9BC7-1077A5061D38},,,SDE,2024/03/05 12:17:38+00,City of Kigali,1.01086171424347,0.0348919994262063
3,13,1,Umujyi wa Kigali,Kigali City,13,Kicukiro,DLUP,2012,{2F253D10-9ADC-4318-9CA0-0DF3A7D50164},,,SDE,2024/03/05 12:17:38+00,City of Kigali,0.767626714227577,0.0135770023646684
4,21,2,Amajyepfo,South,21,Nyanza,Single layer,2012,{4B50C062-7024-45FB-82D6-0513EF527A49},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.60487020458645,0.0545895126977424
5,22,2,Amajyepfo,South,22,Gisagara,DLUP,2012,{15D1D4DC-D845-480A-9F21-098F04AC8280},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.38150514617033,0.0548408581922089
6,23,2,Amajyepfo,South,23,Nyaruguru,DLUP,2012,{68D502B8-5B1A-43EC-BE61-4E9F33E3B6B8},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.77930110750127,0.0819123501896923
7,24,2,Amajyepfo,South,24,Huye,DLUP,2012,{CBAA424C-A848-40A9-80A9-8E151E0590E6},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.19571218828037,0.0472511732126653
8,25,2,Amajyepfo,South,25,Nyamagabe,Single layer,2012,{AFE65FEA-6D03-4BA6-A1F7-078DFB5252AA},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.86787211946355,0.0887126848204086
9,26,2,Amajyepfo,South,26,Ruhango,Single layer,2012,{F6678E31-8AFE-42BF-8386-098C685C8592},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.51259394435087,0.0508872031896465
10,27,2,Amajyepfo,South,27,Muhanga,DLUP,2012,{F53B8D0C-29E3-461E-84B9-D96DEA9C69E4},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.60964749901985,0.0525611676388308
11,28,2,Amajyepfo,South,28,Kamonyi,Single layer,2012,{208407C4-58E9-4616-8AAE-1F41DE835381},,,SDE,2024/03/05 12:19:14+00,Southern Province,1.44674467897863,0.0536371007644778
12,31,3,Iburengerazuba,West,31,Karongi,Single layer,2012,{4C153018-8790-478D-B84D-7E4CDCDB7FDA},,,SDE,2024/03/05 12:09:10+00,Western Province,2.45068599093971,0.0641216855347775
13,32,3,Iburengerazuba,West,32,Rutsiro,Single layer,2012,{A2B5C8B1-82C5-49C5-9B63-0BDE406C2E9D},,,SDE,2024/03/05 12:09:10+00,Western Province,2.50085581549929,0.0537961888694298
14,33,3,Iburengerazuba,West,33,Rubavu,DLUP,2012,{485A556D-D140-4F96-AD63-9784F1952029},,,SDE,2024/03/05 12:09:10+00,Western Province,1.08205358718231,0.0274031576424632
15,34,3,Iburengerazuba,West,34,Nyabihu,Single layer,2012,{4D7E8C5D-0249-4333-82F1-9DFF81F27F8F},,,SDE,2024/03/05 12:09:10+00,Western Province,1.18297470431904,0.0437082705057968
16,35,3,Iburengerazuba,West,35,Ngororero,Single layer,2012,{E050DA4C-7079-4A68-A022-96DFFECFD521},,,SDE,2024/03/05 12:09:10+00,Western Province,1.62091272699842,0.0549868757722035
17,36,3,Iburengerazuba,West,36,Rusizi,Single layer,2012,{45E49D51-EAA9-4286-BE5E-0B7EEB85BE80},,,SDE,2024/03/05 12:09:10+00,Western Province,2.89742549415906,0.0745606117312918
18,37,3,Iburengerazuba,West,37,Nyamasheke,Single layer,2012,{1848A7B0-1F51-42B3-897A-E4FFB051C07A},,,SDE,2024/03/05 12:09:10+00,Western Province,3.34078466993184,0.0771476696580433
19,41,4,Amajyaruguru,North,41,Rulindo,DLUP,2012,{F8859AE3-772E-42E3-A1CC-69ECE0BA3F3F},,,SDE,2024/03/05 12:18:20+00,Northern Province,1.43387705028375,0.0461100076393267
20,42,4,Amajyaruguru,North,42,Gakenke,Single layer,2012,{0C997B5F-8569-4CF7-B60A-4F998EBEA128},,,SDE,2024/03/05 12:18:20+00,Northern Province,1.31393803205341,0.0572127824810008
21,43,4,Amajyaruguru,North,43,Musanze,DLUP,2012,{57E5C541-3BBB-4354-9CD5-C6E6B5D3936F},,,SDE,2024/03/05 12:18:20+00,Northern Province,1.05936039757652,0.0428862055903567
22,44,4,Amajyaruguru,North,44,Burera,Single layer,2012,{AB5AEFF4-50D1-468D-9E34-8F6C024B78AC},,,SDE,2024/03/05 12:18:20+00,Northern Province,1.50989362990937,0.0524479662441804
23,45,4,Amajyaruguru,North,45,Gicumbi,DLUP,2012,{A573EF5E-70E2-4442-A827-C6F0D5E65488},,,SDE,2024/03/05 12:18:20+00,Northern Province,1.86589184856266,0.0673215995568395
25,52,5,Iburasirazuba,East,52,Nyagatare,DLUP,2012,{6B505D0A-5676-4543-A828-B2F9FAEC2050},,,SDE,2024/03/05 12:16:18+00,Eastern Province,2.61864440965158,0.156822742387083
26,53,5,Iburasirazuba,East,53,Gatsibo,Single layer,2012,{51D0084A-80F8-48D0-8BC8-17021EDCC371},,,SDE,2024/03/05 12:16:18+00,Eastern Province,2.25217921830646,0.128756872083857
27,54,5,Iburasirazuba,East,54,Kayonza,Single layer,2012,{E36AB9B8-5855-4770-BE14-C79614215CBC},,,SDE,2024/03/05 12:16:18+00,Eastern Province,2.01003104156348,0.156939182614329
28,55,5,Iburasirazuba,East,55,Kirehe,DLUP,2012,{2595A22E-A07A-4830-A7E9-8CC284602397},,,SDE,2024/03/05 12:16:18+00,Eastern Province,1.75755303666956,0.0959761257225219
29,56,5,Iburasirazuba,East,56,Ngoma,DLUP,2012,{0FEA7F6E-8681-49EA-8C73-45E8E05FA0B7},,,SDE,2024/03/05 12:16:18+00,Eastern Province,1.52690883508857,0.0705534382269522
30,57,5,Iburasirazuba,East,57,Bugesera,Single layer,2012,{4EDD4011-BFC3-4584-9C2E-5696452C9F18},,,SDE,2024/03/05 12:16:18+00,Eastern Province,1.8884324930628,0.105062575981546
33,51,5,Iburasirazuba,East,51,Rwamagana,Single layer,2012,{CCF271F9-AD47-405E-ACEA-EFBBA969A06D},,,SDE,2024/03/05 12:16:18+00,Eastern Province,1.22164689749256,0.0553359517901479
